time,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,fsr_left,fsr_right,fsr_spine,label
0.02,-0.3774,0.5973,0.4962,0.7312,-0.3863,0.5414,0.0,0.0967,0.2519,2
0.04,-0.1253,0.6705,0.1668,0.7332,-0.3906,0.537,0.0,0.1036,0.2436,2
0.06,-0.0597,0.1124,0.1842,0.7294,-0.3882,0.5488,0.0069,0.0978,0.2447,2
0.08,-0.2197,-0.9528,0.7138,0.7362,-0.3884,0.5445,0.0107,0.0944,0.2475,2
0.1,-0.1391,-0.841,0.6696,0.7429,-0.3886,0.5439,0.0028,0.0955,0.248,2
0.12,0.1055,-0.1247,0.446,0.7365,-0.3932,0.5451,0.0,0.0981,0.2462,2
0.14,0.0656,0.2973,0.4877,0.7288,-0.3987,0.545,0.0029,0.0995,0.2432,2
0.16,-0.2972,0.4266,0.4576,0.7395,-0.3959,0.5486,0.0019,0.1003,0.2416,2
0.18,-0.2103,-0.1414,0.3642,0.7488,-0.3933,0.5431,0.0,0.1034,0.2463,2
0.2,-0.1356,-1.0269,-0.0182,0.7314,-0.4011,0.5434,0.0,0.0947,0.239,2
0.22,-0.2891,-0.0072,0.2982,0.7406,-0.3953,0.5413,0.0,0.0984,0.2461,2
0.24,0.1228,1.3238,0.2274,0.7366,-0.3958,0.5406,0.0,0.0971,0.2414,2
0.26,0.513,0.4641,0.2883,0.7347,-0.3906,0.5391,0.0,0.0961,0.2525,2
0.28,0.2513,-0.4991,0.3289,0.733,-0.3968,0.5392,0.0,0.0974,0.2557,2
0.3,-0.195,-0.5382,0.4301,0.7314,-0.4007,0.5368,0.0,0.0992,0.2425,2
0.32,-0.3099,-0.3786,0.6311,0.7331,-0.3932,0.5336,0.0,0.098,0.2329,2
0.34,-0.2614,-0.7001,0.6451,0.7381,-0.3926,0.5387,0.0,0.0947,0.243,2
0.36,0.0408,-1.0068,0.4034,0.7413,-0.3909,0.5431,0.0,0.0977,0.2479,2
0.38,-0.5583,-0.295,-0.0517,0.7441,-0.3934,0.5514,0.0171,0.097,0.246,2
0.4,-0.1551,1.1204,-0.1355,0.7474,-0.39,0.5453,0.0,0.1022,0.2532,2
0.42,-0.135,0.6606,-0.0548,0.7386,-0.3923,0.5441,0.0059,0.1002,0.2468,2
0.44,-0.0792,-0.1421,0.2605,0.7316,-0.3972,0.5365,0.0,0.1011,0.2481,2
0.46,-0.2455,-0.6064,0.3955,0.7353,-0.3997,0.53,0.0,0.0995,0.2399,2
0.48,-0.4683,-0.5403,0.5996,0.7393,-0.3984,0.5366,0.0022,0.0989,0.234,2
0.5,-0.3317,-0.0912,0.9634,0.7365,-0.3976,0.5486,0.0,0.1023,0.2457,2
0.52,0.0122,0.4399,0.6811,0.7366,-0.3999,0.5439,0.0,0.0992,0.252,2
0.54,-0.0781,1.5125,-0.0672,0.7292,-0.389,0.542,0.0,0.0927,0.2467,2
0.56,-0.1153,1.1453,0.1027,0.7329,-0.3818,0.5416,0.0,0.0983,0.2468,2
0.58,-0.4793,-0.3304,0.3112,0.7423,-0.3932,0.539,0.0,0.0985,0.258,2
0.6,-0.4842,-0.5962,0.3702,0.7359,-0.4015,0.5346,0.0,0.0948,0.2468,2
0.62,-0.3841,-0.8764,0.4464,0.7295,-0.4022,0.5317,0.0,0.0943,0.2365,2
0.64,-0.2566,-1.5115,0.5902,0.7379,-0.4028,0.5343,0.0,0.0952,0.2433,2
0.66,-0.1511,-1.5232,0.4504,0.748,-0.4036,0.5359,0.0,0.0972,0.2514,2
0.68,-0.1126,-0.4361,0.0685,0.7432,-0.3992,0.5346,0.0,0.1,0.2462,2
0.7,-0.0906,0.1939,0.3492,0.7378,-0.3927,0.5431,0.0,0.0975,0.2455,2
0.72,-0.2741,-0.9794,0.7232,0.7348,-0.3943,0.5421,0.0,0.096,0.2319,2
0.74,-0.4978,0.6598,-0.0277,0.7404,-0.3954,0.5503,0.0,0.0991,0.2478,2
0.76,-0.5556,0.4956,-0.4443,0.7331,-0.3994,0.5392,0.0,0.1004,0.2362,2
0.78,-0.4793,0.1951,-0.5329,0.7299,-0.3988,0.5337,0.0,0.095,0.2377,2
0.8,-0.3265,-0.2968,-0.2251,0.7366,-0.399,0.5441,0.0,0.0991,0.2414,2
0.82,-0.0911,-0.5804,0.1334,0.7418,-0.3998,0.5484,0.0,0.1026,0.2385,2
0.84,0.0571,-0.3884,0.1664,0.7417,-0.3971,0.5388,0.0,0.1002,0.2424,2
0.86,0.0151,-0.1439,0.0333,0.7416,-0.3916,0.5317,0.0,0.1007,0.2583,2
0.88,0.07,-0.3414,0.3072,0.7367,-0.3932,0.5354,0.0091,0.1007,0.2511,2
0.9,-0.5567,0.2256,-0.2732,0.7421,-0.3968,0.5702,0.0,0.0977,0.2508,2
0.92,-0.4951,0.3228,-0.1143,0.7459,-0.3985,0.5476,0.0,0.1012,0.252,2
0.94,-0.4078,-0.306,0.7622,0.743,-0.3971,0.542,0.0,0.0984,0.2449,2
0.96,-0.1599,-0.2112,0.6104,0.7408,-0.3984,0.5489,0.0,0.0987,0.2414,2
0.98,0.0756,-0.1906,0.3611,0.7402,-0.3976,0.5478,0.0,0.1006,0.2433,2
1.0,0.164,-0.05,0.2288,0.7381,-0.3957,0.5466,0.0,0.1006,0.2471,2
1.02,0.0433,0.6842,-0.0683,0.7336,-0.395,0.5466,0.0035,0.098,0.2477,2
1.04,-0.2718,1.3477,-0.3479,0.7301,-0.396,0.5367,0.0031,0.0952,0.2428,2
1.06,-0.6103,0.606,-0.2162,0.7299,-0.4013,0.5401,0.0036,0.0938,0.2401,2
1.08,-0.8676,0.1834,-0.0815,0.7385,-0.398,0.5361,0.0169,0.1016,0.2602,2
1.1,-0.4797,0.4737,0.2319,0.742,-0.3989,0.5286,0.0,0.102,0.2491,2
1.12,-0.3179,-0.4157,0.7231,0.7401,-0.3969,0.5381,0.0,0.0973,0.2492,2
1.14,-0.2215,-0.0936,0.7426,0.7355,-0.3946,0.5376,0.0,0.0978,0.2476,2
1.16,-0.1658,0.7909,0.3209,0.7318,-0.3959,0.5417,0.0038,0.0983,0.2487,2
1.18,-0.0951,0.6573,0.3409,0.7358,-0.3965,0.5432,0.0,0.0992,0.2483,2
1.2,0.0566,-0.1693,0.8192,0.7437,-0.3946,0.5378,0.0,0.1002,0.2455,2
1.22,0.214,0.0292,0.7341,0.7424,-0.3957,0.5425,0.0,0.0971,0.2483,2
1.24,0.1022,-0.1316,0.8831,0.7385,-0.398,0.5396,0.0,0.1006,0.2456,2
1.26,-0.2609,-1.0219,0.644,0.728,-0.3974,0.5427,0.0032,0.101,0.2458,2
1.28,-0.3644,0.2633,-0.0143,0.7425,-0.3919,0.531,0.0,0.1006,0.2534,2
1.3,-0.2949,1.2204,-0.3116,0.7355,-0.3915,0.5339,0.0,0.0974,0.2501,2
1.32,-0.238,0.9923,-0.0182,0.7327,-0.3923,0.541,0.0,0.0999,0.2418,2
1.34,-0.2267,0.4806,0.4868,0.7344,-0.3952,0.5371,0.0,0.1025,0.2443,2
1.36,-0.2058,0.1929,0.4514,0.7388,-0.3982,0.5338,0.0,0.1031,0.2513,2
1.38,-0.1513,0.0268,-0.0504,0.7448,-0.3972,0.5398,0.0,0.1019,0.2501,2
1.4,-0.0904,-0.0545,0.0293,0.7447,-0.3942,0.539,0.0,0.0976,0.2454,2
1.42,0.0422,-0.3739,0.1817,0.7413,-0.3981,0.5502,0.0,0.1043,0.2383,2
