time,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,fsr_left,fsr_right,fsr_spine,label
0.02,0.3718,-0.7749,0.7542,0.7828,0.4601,0.3212,0.1303,0.0694,0.1239,3
0.04,-0.0633,-0.3503,0.1853,0.7948,0.4749,0.3286,0.1628,0.0702,0.1209,3
0.06,0.5389,0.7881,0.4146,0.7806,0.5043,0.3356,0.1515,0.0733,0.1248,3
0.08,0.4597,0.331,0.5079,0.7758,0.4913,0.33,0.1475,0.0744,0.1246,3
0.1,0.19,-0.127,0.6917,0.7904,0.4639,0.3325,0.1261,0.0716,0.123,3
0.12,-0.1669,0.3442,0.548,0.7777,0.4693,0.3371,0.156,0.0688,0.1221,3
0.14,-0.5158,0.3051,0.338,0.7643,0.4862,0.3365,0.1554,0.0686,0.1225,3
0.16,-0.6535,-0.2123,0.3709,0.7728,0.4948,0.3292,0.1132,0.0687,0.1218,3
0.18,-0.6226,-0.0257,0.1711,0.7858,0.4969,0.3188,0.1278,0.0675,0.1202,3
0.2,-0.6306,0.0032,-0.31,0.8013,0.4834,0.3183,0.1572,0.0691,0.1212,3
0.22,-0.4029,0.6213,0.8479,0.7717,0.517,0.3325,0.1452,0.0698,0.1186,3
0.24,-0.6563,0.359,0.6579,0.7849,0.4901,0.3307,0.1385,0.071,0.1235,3
0.26,-1.8887,-0.2551,0.5594,0.7864,0.4578,0.3234,0.1191,0.0729,0.1235,3
0.28,-0.9518,-0.0017,-0.6557,0.7679,0.4778,0.3286,0.1272,0.071,0.1228,3
0.3,0.3298,-0.7615,-0.5468,0.7632,0.511,0.3352,0.1507,0.0698,0.1244,3
0.32,0.7265,-1.1776,0.1141,0.7631,0.4916,0.3358,0.1291,0.0711,0.1225,3
0.34,0.3702,-0.5353,-0.0023,0.7712,0.4895,0.329,0.1206,0.0711,0.1217,3
0.36,0.1543,0.1159,-0.2909,0.7842,0.4877,0.3242,0.1203,0.0705,0.1221,3
0.38,-0.1004,0.1714,0.0837,0.7808,0.4868,0.3309,0.1242,0.0709,0.1216,3
0.4,-1.1525,-0.0258,0.6087,0.7705,0.52,0.3361,0.1353,0.0709,0.121,3
0.42,-2.0569,-0.4956,0.5008,0.7965,0.5109,0.3203,0.1035,0.0697,0.1206,3
0.44,-1.1759,-0.1502,-0.109,0.7905,0.4774,0.3298,0.1485,0.0728,0.1238,3
0.46,-0.8951,0.9918,-0.2466,0.7698,0.4804,0.3358,0.1202,0.0705,0.1215,3
0.48,-0.6643,1.7053,-0.6206,0.7654,0.5121,0.338,0.1451,0.0695,0.1168,3
0.5,-0.2782,1.9326,-0.3563,0.7648,0.5025,0.3288,0.1604,0.0686,0.1214,3
0.52,0.0141,1.2443,0.164,0.7802,0.4893,0.3263,0.1315,0.0721,0.1241,3
0.54,0.5395,1.0254,0.6114,0.7664,0.4914,0.3323,0.1196,0.0712,0.1253,3
0.56,0.5632,0.5032,1.0242,0.7745,0.4979,0.3359,0.1303,0.069,0.1253,3
0.58,-0.0957,0.5998,0.873,0.7839,0.516,0.3324,0.1691,0.07,0.1236,3
0.6,-0.4325,0.8781,0.5896,0.776,0.5142,0.331,0.1948,0.0708,0.1229,3
0.62,-0.096,0.0921,0.7808,0.7778,0.4709,0.3339,0.1675,0.069,0.1248,3
0.64,-0.4121,0.3769,0.245,0.7716,0.4676,0.3257,0.1567,0.0701,0.1238,3
0.66,-0.6884,0.1383,-0.0099,0.7948,0.4921,0.3293,0.1644,0.0653,0.1224,3
0.68,-0.3389,0.3825,0.3239,0.7886,0.5197,0.3355,0.1588,0.0713,0.1263,3
0.7,-0.8874,0.5149,0.8459,0.7846,0.4975,0.3273,0.165,0.0699,0.1256,3
0.72,-1.7684,0.4336,1.0282,0.7679,0.4922,0.327,0.1628,0.0703,0.1264,3
0.74,-1.8417,0.8889,0.384,0.7699,0.488,0.3221,0.1524,0.0701,0.1239,3
0.76,-0.9417,1.0754,-0.2983,0.7648,0.508,0.3252,0.1531,0.0706,0.1241,3
0.78,-0.4741,0.9895,0.291,0.7664,0.4918,0.3289,0.1339,0.0706,0.1232,3
0.8,-0.549,0.8795,1.0848,0.7758,0.4765,0.3358,0.1252,0.0703,0.1217,3
0.82,-0.813,0.7024,1.0648,0.7693,0.4972,0.3468,0.1335,0.0706,0.1232,3
0.84,-1.1769,0.2603,0.8502,0.7533,0.5125,0.3456,0.1281,0.0699,0.1258,3
0.86,-0.8788,-0.3002,0.598,0.7697,0.5224,0.3288,0.1382,0.0671,0.1251,3
0.88,-0.5545,-0.1697,0.5832,0.7694,0.5158,0.3334,0.0968,0.0691,0.1216,3
0.9,-0.3282,-0.543,0.6227,0.7652,0.5022,0.3395,0.14,0.0696,0.1235,3
0.92,0.0944,-0.3523,1.1795,0.7795,0.453,0.3395,0.1402,0.0702,0.1235,3
0.94,0.4512,0.0141,0.8899,0.782,0.4569,0.3305,0.1748,0.0737,0.1238,3
0.96,0.3343,-0.1879,0.2584,0.7758,0.4957,0.3388,0.1747,0.0685,0.1253,3
0.98,-0.4054,0.5484,-0.1027,0.7793,0.509,0.3382,0.1538,0.0676,0.1268,3
1.0,-1.2505,0.7435,-0.2652,0.7874,0.4899,0.3281,0.154,0.0702,0.1261,3
1.02,-1.0187,0.4418,-0.3152,0.7856,0.4559,0.3263,0.1458,0.0695,0.1258,3
1.04,-0.3297,0.5101,-0.2605,0.7715,0.4402,0.3347,0.1357,0.0672,0.1257,3
1.06,-0.5533,0.5672,-0.1282,0.7627,0.4636,0.3392,0.1594,0.0691,0.124,3
1.08,-0.635,0.4313,0.2105,0.7706,0.4911,0.3385,0.1472,0.0701,0.1246,3
1.1,-1.6046,0.4036,0.7306,0.7492,0.4944,0.3393,0.1439,0.0655,0.121,3
1.12,-1.1644,0.0956,0.418,0.77,0.4726,0.3378,0.1566,0.0661,0.1258,3
1.14,-0.7007,0.7249,0.3289,0.7718,0.4816,0.3305,0.108,0.0708,0.1251,3
1.16,-0.542,0.4298,0.4282,0.7954,0.4779,0.3373,0.1399,0.0738,0.125,3
1.18,-0.0698,0.1462,0.2951,0.8,0.4576,0.3319,0.1427,0.0726,0.1248,3
1.2,0.511,-0.0507,0.632,0.7807,0.4652,0.3344,0.1523,0.0694,0.1236,3
1.22,0.8705,-0.3798,0.7529,0.7773,0.492,0.34,0.1577,0.0692,0.1233,3
1.24,0.6905,-0.7146,0.7747,0.775,0.5129,0.3375,0.1637,0.0706,0.1242,3
1.26,0.3858,-0.9117,1.3214,0.762,0.5096,0.3314,0.1707,0.0708,0.1236,3
1.28,0.5885,-0.8106,2.3722,0.7594,0.496,0.3328,0.1601,0.0703,0.1217,3
1.3,0.8264,-0.2476,3.6752,0.7485,0.5051,0.3369,0.146,0.0684,0.1232,3
1.32,1.0315,-0.8692,4.7406,0.7428,0.4535,0.3308,0.1196,0.0711,0.1216,3
1.34,1.8003,-1.0281,4.5719,0.7689,0.4881,0.345,0.1813,0.0716,0.1259,3
1.36,1.7813,-0.6184,2.8435,0.7644,0.5107,0.3216,0.1348,0.0694,0.1215,3
1.38,0.2244,0.9537,1.6114,0.7678,0.4985,0.3315,0.1489,0.0709,0.1225,3
1.4,-0.5048,1.0534,1.0624,0.7903,0.4771,0.3333,0.1384,0.0727,0.1228,3
1.42,-0.1357,0.1489,0.4706,0.7674,0.4724,0.3305,0.142,0.0691,0.1217,3
1.44,0.1494,-0.5236,0.0454,0.7621,0.4858,0.3346,0.1693,0.0696,0.1221,3
1.46,-0.0947,-0.538,0.2585,0.7943,0.4966,0.3405,0.1753,0.0727,0.123,3
1.48,-0.3087,-0.3199,0.7148,0.8007,0.4898,0.3384,0.152,0.0708,0.1223,3
1.5,-0.1136,-0.2348,0.4372,0.7649,0.478,0.33,0.1353,0.0678,0.1212,3
1.52,0.1637,0.059,-0.6562,0.7648,0.4831,0.3224,0.1226,0.0713,0.1219,3
1.54,0.4041,0.8603,-1.492,0.7727,0.4792,0.319,0.1331,0.0741,0.1245,3
1.56,-1.3136,0.2528,-2.7633,0.7935,0.4839,0.336,0.123,0.0701,0.1211,3
1.58,-1.5719,1.6118,-1.868,0.8031,0.4863,0.3272,0.1481,0.0732,0.1221,3
1.6,-1.1918,1.9821,-1.5277,0.789,0.4707,0.3169,0.1232,0.0697,0.1217,3
1.62,-0.5905,1.4304,-0.8393,0.7832,0.4493,0.3172,0.1072,0.0711,0.1196,3
1.64,-1.1261,0.4472,-0.3435,0.7763,0.4891,0.3342,0.1078,0.0734,0.1239,3
1.66,-1.5066,0.3736,-0.4832,0.7769,0.4684,0.3391,0.1177,0.0742,0.1259,3
1.68,-1.3212,1.1271,-0.6789,0.7744,0.4472,0.3325,0.1256,0.0729,0.1244,3
1.7,-0.8555,1.2846,-0.7887,0.7758,0.4896,0.3338,0.1228,0.0716,0.1251,3
1.72,-0.2948,0.2517,-0.6936,0.7847,0.5058,0.3425,0.1196,0.0726,0.127,3
1.74,-0.5841,-0.5984,0.6219,0.7571,0.4918,0.3426,0.1374,0.0734,0.1255,3
1.76,-1.1386,0.0035,0.3584,0.7719,0.487,0.3277,0.1406,0.0716,0.1233,3
1.78,-0.8382,0.5279,0.3928,0.797,0.5094,0.3209,0.1584,0.0662,0.1255,3
1.8,-1.112,0.228,-0.7454,0.7958,0.4866,0.3379,0.1137,0.0713,0.1217,3
1.82,-1.3117,0.4784,-0.7746,0.7786,0.4723,0.3384,0.1019,0.0692,0.1258,3
1.84,-1.2119,0.5983,-0.5145,0.7609,0.5019,0.3395,0.123,0.0722,0.1237,3
1.86,-0.6528,-0.0172,-0.0622,0.7585,0.4945,0.3414,0.1545,0.0733,0.1244,3
1.88,-0.5195,0.0691,0.0973,0.7804,0.4846,0.3373,0.1557,0.0712,0.127,3
1.9,-0.7064,0.1872,0.3076,0.789,0.4787,0.3324,0.1437,0.0699,0.1268,3
1.92,-0.7058,-0.0739,0.6289,0.7762,0.4631,0.3304,0.1472,0.0699,0.1245,3
1.94,-0.6717,0.1418,0.4278,0.7796,0.4593,0.3301,0.1467,0.0689,0.1235,3
1.96,-0.787,-0.177,-0.0013,0.7937,0.4829,0.336,0.1243,0.068,0.1237,3
1.98,-0.7981,-1.3605,0.2732,0.7817,0.5129,0.3357,0.1454,0.0694,0.1223,3
2.0,-1.5199,-0.1539,-0.5385,0.7659,0.4837,0.3371,0.1491,0.0754,0.1263,3
2.02,-1.5984,0.8448,-0.685,0.7839,0.4808,0.3323,0.1404,0.0706,0.1249,3
2.04,-1.3329,0.9019,-0.1942,0.7703,0.5085,0.3394,0.1491,0.073,0.123,3
2.06,-1.3193,0.0503,-0.4732,0.7829,0.5032,0.3418,0.138,0.0707,0.1255,3
2.08,-1.2917,0.8386,-0.3486,0.778,0.4913,0.3395,0.1308,0.072,0.1272,3
2.1,-1.2512,1.1228,0.1246,0.7619,0.484,0.3353,0.1197,0.0716,0.127,3
2.12,-0.7603,-0.0546,0.5105,0.762,0.4894,0.3352,0.1277,0.0699,0.124,3
2.14,-0.1014,-1.1084,0.3864,0.769,0.5181,0.3339,0.1472,0.0695,0.1226,3
2.16,-0.0738,-0.8898,0.0763,0.7738,0.5338,0.328,0.1404,0.0698,0.1263,3
2.18,-0.0198,-0.2352,0.6508,0.7902,0.4849,0.3335,0.1357,0.072,0.1272,3
2.2,1.3292,0.0052,1.0736,0.7366,0.4845,0.34,0.1774,0.0729,0.1224,3
2.22,0.5205,0.2916,1.6456,0.7853,0.4707,0.3271,0.1319,0.0708,0.1237,3
2.24,1.2303,-0.8787,1.2229,0.7557,0.459,0.3372,0.0995,0.0695,0.1254,3
2.26,0.92,-0.7593,0.9974,0.7617,0.456,0.3394,0.1441,0.0695,0.1231,3
2.28,-0.2835,0.0494,-0.3489,0.785,0.4908,0.3347,0.1565,0.0715,0.1209,3
