time,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,fsr_left,fsr_right,fsr_spine,label
0.02,-0.4454,-0.1288,-0.0018,0.843,0.0083,0.4943,0.0844,0.1324,0.1019,0
0.04,-0.8777,-0.5548,0.7222,0.8697,-0.0203,0.4521,0.1064,0.129,0.118,0
0.06,-0.4368,-0.6298,1.0822,0.8719,-0.0078,0.4758,0.0996,0.1297,0.0989,0
0.08,-0.0184,0.1471,1.1949,0.8698,0.0007,0.4541,0.0913,0.1291,0.0948,0
0.1,0.474,-0.1489,1.4768,0.8565,-0.019,0.4607,0.0862,0.1283,0.0979,0
0.12,-0.2858,0.0442,1.7657,0.857,0.0014,0.4957,0.0883,0.13,0.0973,0
0.14,-0.2047,0.5559,1.6727,0.8807,-0.0175,0.4771,0.0938,0.1269,0.1083,0
0.16,-0.8225,1.2922,1.1418,0.8638,-0.0131,0.4978,0.0813,0.1286,0.1124,0
0.18,0.054,0.8937,0.575,0.8652,-0.0111,0.4819,0.0909,0.1283,0.0912,0
0.2,-0.4849,0.3638,0.1335,0.8823,-0.0132,0.5021,0.0895,0.1273,0.1075,0
0.22,-0.564,0.4312,0.1671,0.8737,-0.0043,0.4626,0.0922,0.1253,0.1096,0
0.24,0.1551,-0.7915,1.5964,0.8776,-0.0098,0.438,0.0876,0.1292,0.0992,0
0.26,-0.1929,0.6777,1.7657,0.8805,-0.0121,0.4845,0.0855,0.1294,0.0961,0
0.28,-0.4971,0.5562,1.6206,0.8784,-0.0193,0.4589,0.0882,0.1312,0.1132,0
0.3,-0.1555,-0.2051,1.2322,0.8625,-0.0158,0.4529,0.0943,0.1324,0.0918,0
0.32,-0.4586,-0.2808,0.9551,0.8626,-0.0117,0.4715,0.0895,0.1319,0.1158,0
0.34,0.3493,-0.5032,1.2272,0.8696,-0.0107,0.4861,0.0987,0.1314,0.1061,0
0.36,0.0551,0.3532,1.1299,0.8743,-0.0204,0.4809,0.1011,0.1292,0.1015,0
0.38,0.2491,0.7018,1.6384,0.8612,-0.0096,0.4856,0.0863,0.1308,0.1094,0
0.4,0.0087,-0.656,0.2896,0.8631,-0.0118,0.5055,0.0944,0.1301,0.0918,0
0.42,-0.1358,-1.1608,0.7393,0.8755,-0.0128,0.4923,0.0942,0.1277,0.0956,0
0.44,-0.402,0.0517,-0.1523,0.8677,-0.0245,0.4555,0.093,0.1269,0.0888,0
0.46,-0.1858,0.3274,-0.8161,0.8762,-0.022,0.479,0.0924,0.1298,0.0986,0
0.48,0.1882,0.1322,0.4875,0.8777,-0.0096,0.4691,0.1023,0.1329,0.094,0
0.5,-0.6681,0.6943,0.3322,0.8647,-0.0178,0.4682,0.0887,0.1298,0.1132,0
0.52,-0.1432,-0.1161,0.2229,0.8841,-0.0155,0.4816,0.1014,0.1301,0.0816,0
0.54,0.0405,0.5791,0.2414,0.8788,-0.014,0.4863,0.0935,0.1282,0.0952,0
0.56,-0.1155,0.9778,0.1277,0.8805,-0.0172,0.4879,0.0916,0.1285,0.1124,0
0.58,-0.1457,-0.1067,0.1258,0.8679,-0.0195,0.508,0.0975,0.1285,0.0954,0
0.6,-0.6057,0.0008,0.4027,0.8717,-0.0127,0.4731,0.0849,0.1283,0.1068,0
0.62,-0.2946,0.9833,-0.3246,0.8698,-0.0077,0.4684,0.0926,0.1293,0.1085,0
0.64,-0.4748,-0.2219,0.0817,0.867,-0.0251,0.4718,0.0886,0.126,0.119,0
0.66,-0.3129,0.2296,-0.2428,0.854,-0.0168,0.4787,0.0722,0.1292,0.0955,0
0.68,-0.5123,-0.3925,-0.5208,0.8526,-0.0118,0.4773,0.0681,0.1286,0.0931,0
0.7,-0.3584,-0.6326,-0.5521,0.8722,-0.021,0.4767,0.0777,0.1298,0.0755,0
0.72,-0.9216,-0.5935,0.254,0.8696,-0.009,0.4911,0.0564,0.126,0.0995,0
0.74,0.0915,-0.4562,0.3586,0.8776,-0.0166,0.4714,0.0578,0.1293,0.0808,0
0.76,-0.2837,-0.1464,0.3869,0.8821,-0.0191,0.4767,0.0742,0.1297,0.1011,0
0.78,0.2468,0.3349,0.5881,0.8781,-0.0082,0.4901,0.0737,0.1291,0.0932,0
0.8,-0.1215,0.4248,0.2577,0.8884,-0.0031,0.4755,0.0671,0.1294,0.0992,0
0.82,-0.253,0.6078,-0.0931,0.8502,-0.0141,0.5195,0.0592,0.131,0.1104,0
0.84,0.2981,-0.5279,-0.8528,0.8471,0.0039,0.499,0.0805,0.1303,0.0798,0
0.86,0.6212,-0.8227,-1.5149,0.865,-0.0039,0.501,0.0741,0.1314,0.0971,0
0.88,-0.2767,0.4253,-1.4975,0.8897,-0.0163,0.4695,0.0692,0.1273,0.0884,0
0.9,-1.4456,0.3944,-1.3187,0.8667,-0.0171,0.4761,0.0836,0.1274,0.0957,0
0.92,-1.2171,0.6236,-1.3271,0.8786,-0.0248,0.4594,0.0713,0.1277,0.1134,0
0.94,-0.4621,0.5731,-0.875,0.8767,-0.015,0.4699,0.0547,0.1272,0.1038,0
0.96,-1.5981,1.3479,-1.1621,0.8836,-0.0308,0.4716,0.0743,0.1313,0.1015,0
0.98,-0.6065,1.0308,-2.135,0.8855,-0.0298,0.4661,0.0922,0.1296,0.1146,0
1.0,-0.3414,-0.2597,-1.7615,0.8714,-0.0183,0.4677,0.0912,0.1295,0.0928,0
1.02,-0.0595,0.5611,-1.2355,0.8665,-0.0187,0.4963,0.0881,0.1292,0.1196,0
1.04,0.0367,0.3131,-1.4266,0.8834,-0.0166,0.4665,0.104,0.1274,0.1194,0
1.06,0.6133,0.9293,-1.7247,0.877,-0.0082,0.4956,0.0918,0.1297,0.0907,0
1.08,1.3478,1.5866,-2.433,0.8809,-0.0128,0.4631,0.0951,0.1273,0.0735,0
1.1,1.6868,1.003,-2.3606,0.8672,-0.0207,0.4562,0.0903,0.1265,0.0913,0
1.12,1.3419,1.066,-2.6646,0.8512,-0.0122,0.5056,0.0745,0.1262,0.1016,0
1.14,0.7443,1.3679,-2.2401,0.8718,0.0057,0.5137,0.0693,0.1277,0.1028,0
1.16,-0.145,0.894,-0.547,0.8811,-0.0005,0.4803,0.0673,0.1285,0.1024,0
1.18,0.0807,0.6207,-0.5862,0.8708,0.0176,0.4949,0.0646,0.1239,0.111,0
1.2,0.6878,0.9408,-0.9947,0.8761,-0.0012,0.4703,0.0576,0.1259,0.0875,0
1.22,1.2709,1.6037,-0.8303,0.8748,0.0083,0.4796,0.0639,0.1246,0.0913,0
1.24,0.9279,1.1383,-0.6536,0.8661,0.0125,0.4933,0.0693,0.1245,0.1011,0
1.26,-0.1983,0.456,-1.3184,0.8549,0.0143,0.4867,0.0757,0.1261,0.0928,0
1.28,-0.1608,0.3467,-1.6662,0.8677,0.0109,0.4812,0.0594,0.1298,0.1034,0
1.3,-0.5758,1.2351,-0.696,0.8674,0.0119,0.4924,0.0707,0.1251,0.0972,0
1.32,-0.8612,2.2405,0.3924,0.8524,0.0066,0.4615,0.0668,0.1217,0.1138,0
1.34,0.9834,0.8815,0.3236,0.868,-0.0057,0.4776,0.0718,0.1244,0.0958,0
1.36,1.125,1.1205,-0.4055,0.8647,0.001,0.4577,0.0724,0.1254,0.0922,0
1.38,1.1531,-0.2876,-0.1605,0.888,-0.0027,0.4976,0.0647,0.1246,0.0987,0
1.4,1.0008,-1.5247,-0.3163,0.8753,0.0036,0.4847,0.075,0.1192,0.1025,0
1.42,0.5226,-1.5221,-0.2229,0.8772,0.0146,0.4749,0.0551,0.1189,0.1089,0
1.44,0.1827,-0.2982,0.4806,0.8522,0.0308,0.4928,0.074,0.124,0.1066,0
1.46,1.1557,0.3302,0.7823,0.8705,0.0047,0.4559,0.0733,0.1248,0.1033,0
1.48,1.6627,2.2429,1.0185,0.8475,0.0025,0.4851,0.0648,0.124,0.1102,0
1.5,1.2569,3.1018,0.1187,0.8629,0.003,0.4859,0.0644,0.1248,0.1095,0
1.52,2.5551,2.2247,-2.6546,0.8492,-0.003,0.538,0.0657,0.1248,0.1135,0
1.54,2.8743,0.4825,-3.0356,0.8646,0.0104,0.4777,0.0624,0.1231,0.0854,0
1.56,0.9063,0.0603,-1.3235,0.8648,0.0298,0.4909,0.0695,0.1259,0.0996,0
1.58,-0.2078,0.9806,1.0272,0.8532,0.0282,0.4796,0.066,0.1236,0.1094,0
1.6,-0.8175,2.3009,1.0328,0.8594,0.0139,0.4795,0.0689,0.1212,0.1034,0
1.62,-0.7127,2.5935,0.6777,0.851,0.0091,0.4936,0.0643,0.1229,0.091,0
1.64,0.2573,4.1711,0.428,0.8605,-0.01,0.5133,0.0638,0.122,0.0855,0
1.66,-0.2686,3.3768,0.4927,0.8578,0.0103,0.4556,0.0802,0.1194,0.1223,0
1.68,-0.1558,1.9246,0.4591,0.8493,0.0144,0.486,0.0813,0.1252,0.1102,0
1.7,-0.1327,5.3512,0.0639,0.8524,0.0184,0.4831,0.0801,0.1225,0.0888,0
1.72,-0.1963,9.0701,-0.3991,0.8584,0.0139,0.4876,0.0776,0.1207,0.0972,0
1.74,0.2415,8.4845,-0.4916,0.8449,0.0249,0.5197,0.0785,0.1216,0.0878,0
1.76,-0.1236,3.2628,0.3029,0.8513,0.012,0.4659,0.0722,0.1254,0.109,0
1.78,0.2155,0.3894,0.2951,0.8354,0.0233,0.5038,0.0714,0.1243,0.0971,0
1.8,-0.1967,1.2608,-0.1814,0.8498,0.0196,0.4907,0.0664,0.1243,0.0884,0
1.82,-0.1914,1.13,0.3399,0.8563,0.0094,0.5066,0.0699,0.1215,0.1039,0
1.84,0.0096,0.4726,0.7751,0.8397,0.0125,0.488,0.0677,0.1203,0.0929,0
1.86,-0.4752,0.2521,0.8103,0.863,0.0232,0.5164,0.074,0.1213,0.0922,0
1.88,-0.8349,0.0583,0.9721,0.8458,0.0144,0.5103,0.0773,0.1217,0.0913,0
1.9,-0.5399,0.9747,-0.2253,0.8711,0.0036,0.4665,0.0769,0.1203,0.0934,0
1.92,0.2942,1.1646,-0.2018,0.8723,0.0111,0.4934,0.0722,0.1217,0.1013,0
1.94,0.1342,0.2741,0.7625,0.8531,0.0089,0.5133,0.0751,0.1214,0.0729,0
1.96,-0.1334,-1.0967,1.5711,0.8529,0.016,0.4908,0.0621,0.1183,0.1014,0
1.98,0.1093,-1.0488,1.7567,0.8681,0.0165,0.5085,0.0702,0.1209,0.0998,0
2.0,-0.1491,-0.1829,1.1796,0.8486,0.0152,0.4996,0.0825,0.1191,0.0949,0
2.02,0.4122,0.475,0.5672,0.8334,0.0189,0.5059,0.0628,0.1219,0.102,0
2.04,0.2478,0.5271,0.6412,0.8305,0.0291,0.4983,0.0716,0.121,0.1191,0
2.06,-0.1987,0.4046,1.2424,0.8356,0.0176,0.4878,0.0755,0.1212,0.1102,0
2.08,-0.3132,-0.0088,0.889,0.8348,0.0134,0.4935,0.0772,0.1224,0.115,0
2.1,-0.6153,-0.3708,0.7382,0.8423,0.0164,0.5046,0.0975,0.123,0.1114,0
2.12,-0.3239,-0.6564,1.7364,0.8311,0.0122,0.4448,0.0921,0.1215,0.1283,0
2.14,-3.8959,-3.5727,4.9988,0.8235,0.0094,0.5013,0.0974,0.1198,0.1004,0
2.16,-5.3342,-3.7699,6.9813,0.8234,0.0061,0.4979,0.0971,0.1212,0.0943,0
2.18,-3.5214,-4.4364,8.0918,0.8477,-0.0004,0.5024,0.0957,0.121,0.1145,0
2.2,-1.5116,-4.0132,4.9012,0.8695,-0.0078,0.496,0.0948,0.121,0.1177,0
2.22,-0.5764,-2.1705,2.4233,0.8629,-0.0161,0.4756,0.1036,0.122,0.1195,0
2.24,-0.9428,-0.3468,0.6266,0.8752,-0.0161,0.4709,0.1046,0.1171,0.1046,0
2.26,-1.2297,-0.2151,-0.0404,0.8599,-0.0089,0.4987,0.0991,0.1195,0.0935,0
2.28,-0.5793,-0.4261,2.4954,0.8346,0.0022,0.4895,0.1007,0.1218,0.0909,0
2.3,-2.2093,-0.0407,2.0169,0.8616,-0.0007,0.476,0.1054,0.1226,0.1149,0
2.32,-1.1404,-1.9333,1.1139,0.8396,-0.0095,0.4884,0.0983,0.1238,0.1297,0
2.34,-0.0226,-0.4391,1.3357,0.8425,-0.0088,0.4965,0.1102,0.1219,0.1278,0
2.36,-0.5476,-0.3198,0.8028,0.8617,-0.0198,0.4702,0.0945,0.1216,0.1133,0
2.38,0.487,0.2547,-1.1244,0.8572,-0.0365,0.5006,0.098,0.1187,0.1052,0
2.4,1.8465,-1.7495,-0.14,0.8544,-0.0222,0.5018,0.1082,0.1234,0.1064,0
2.42,1.7794,-3.0479,0.4606,0.8465,-0.0147,0.5037,0.1051,0.1229,0.1093,0
2.44,0.3334,-1.7497,0.0488,0.8593,-0.0203,0.4783,0.092,0.1213,0.0984,0
2.46,-0.3121,-2.2431,-0.5814,0.8614,-0.0052,0.4763,0.0984,0.1217,0.1086,0
2.48,-0.1376,-1.0209,0.0021,0.8593,0.0063,0.4501,0.0989,0.1181,0.1002,0
2.5,-0.6196,-0.0205,0.1167,0.8677,0.0058,0.4592,0.1032,0.1183,0.1183,0
2.52,-0.4596,-0.842,0.2291,0.8395,-0.0003,0.4862,0.102,0.1196,0.1122,0
2.54,0.1078,-0.5156,0.4916,0.8489,-0.0123,0.4798,0.0842,0.1205,0.1034,0
2.56,0.6895,-0.4881,-0.1127,0.8613,-0.0135,0.4712,0.0989,0.1214,0.0924,0
2.58,0.9237,0.4692,-0.9906,0.8544,-0.0117,0.5073,0.1086,0.1194,0.1108,0
2.6,0.9914,1.1591,-0.1829,0.8404,-0.0102,0.4653,0.1037,0.1249,0.1214,0
2.62,0.5741,0.9113,-0.444,0.8486,-0.0073,0.4937,0.1135,0.122,0.1172,0
2.64,-0.4869,1.7392,-0.4429,0.8616,-0.0151,0.4995,0.1023,0.1217,0.1128,0
2.66,-1.2613,0.7723,-0.6482,0.85,0.0009,0.5207,0.1043,0.1233,0.1368,0
2.68,-1.2353,-0.1049,0.1823,0.8446,0.0023,0.5067,0.0972,0.1217,0.1081,0
2.7,-1.3213,-0.3706,0.1584,0.8642,-0.002,0.5278,0.1134,0.1182,0.0991,0
2.72,-1.4222,0.0606,0.3419,0.8635,-0.0057,0.4911,0.118,0.1209,0.139,0
2.74,-1.0652,-0.191,0.2398,0.8672,0.0056,0.4716,0.1103,0.1212,0.0971,0
2.76,-1.0869,0.4228,0.6249,0.8449,-0.0055,0.4812,0.1044,0.1222,0.1041,0
2.78,-0.7948,0.2033,0.9275,0.8553,-0.0161,0.4969,0.1071,0.1224,0.1139,0
2.8,-0.3853,0.0636,0.6965,0.8648,-0.0148,0.5198,0.1015,0.1195,0.1016,0
2.82,0.5776,0.9838,-0.0646,0.8586,-0.014,0.4727,0.1125,0.1189,0.0986,0
2.84,1.0652,0.3771,-0.8617,0.8734,-0.0112,0.4961,0.1001,0.1216,0.1035,0
2.86,1.2822,0.4818,-0.1802,0.8523,0.0001,0.527,0.113,0.1212,0.1183,0
2.88,0.4084,0.1716,0.5954,0.8482,-0.0041,0.4902,0.1218,0.1222,0.1122,0
2.9,-0.1035,-0.9673,0.5478,0.8463,-0.0001,0.4816,0.1185,0.1231,0.1151,0
2.92,0.1817,-0.8764,0.683,0.8484,0.0039,0.4968,0.1215,0.1206,0.0979,0
2.94,-0.0094,-0.5573,1.4718,0.8641,-0.015,0.5382,0.1148,0.1265,0.1076,0
2.96,0.1634,0.4073,1.6647,0.8387,-0.0024,0.4752,0.1141,0.1191,0.1024,0
2.98,-0.1053,-0.2524,1.4896,0.8501,-0.0055,0.4836,0.1144,0.1205,0.1042,0
3.0,-0.3533,0.4234,1.0532,0.8303,-0.0069,0.4774,0.1201,0.119,0.1097,0
3.02,-0.9968,-0.1601,0.2362,0.8446,-0.0128,0.4797,0.116,0.1207,0.093,0
3.04,-0.9584,-0.1478,-0.4671,0.8749,-0.0181,0.482,0.1222,0.1184,0.1331,0
3.06,-0.294,0.2883,-0.3964,0.8451,-0.0335,0.4847,0.1145,0.1219,0.0894,0
3.08,1.3291,1.3003,0.8892,0.8435,-0.0201,0.4834,0.1282,0.1211,0.0963,0
3.1,1.3348,0.579,1.8744,0.8218,-0.0099,0.4876,0.1159,0.1223,0.1136,0
3.12,1.6143,-0.7258,1.7184,0.8494,-0.0117,0.4983,0.1182,0.1205,0.0813,0
3.14,0.692,-0.7947,1.3511,0.8691,-0.0091,0.4771,0.1337,0.1223,0.1033,0
3.16,-0.4222,0.0707,0.0041,0.8606,-0.0034,0.4914,0.1362,0.1199,0.1227,0
3.18,-2.6629,-0.8189,-0.0902,0.8605,0.0017,0.472,0.1314,0.1237,0.1224,0
3.2,-2.8403,-0.3519,-0.5882,0.8422,-0.0037,0.5161,0.1244,0.1199,0.1184,0
3.22,-1.574,1.2709,-0.3244,0.8568,-0.0145,0.4877,0.1149,0.121,0.1038,0
3.24,-1.4137,1.4789,-0.1406,0.8642,-0.0119,0.4676,0.126,0.1209,0.1045,0
