time,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,fsr_left,fsr_right,fsr_spine,label
0.02,0.2783,0.0271,-0.2045,0.6014,0.0368,0.8286,0.0901,0.1656,0.084,1
0.04,-0.2821,0.4916,-0.1014,0.592,0.0408,0.8301,0.0923,0.1661,0.048,1
0.06,-0.0494,0.094,0.1526,0.5929,0.0458,0.8241,0.0932,0.1666,0.0556,1
0.08,-0.1523,-0.5063,0.1826,0.5944,0.039,0.8265,0.0914,0.1668,0.0645,1
0.1,-0.2173,-0.7611,0.1705,0.5963,0.0325,0.8274,0.0909,0.1658,0.0673,1
0.12,-0.1748,-0.8721,0.2563,0.5957,0.0325,0.827,0.0905,0.1646,0.0625,1
0.14,-0.2442,-0.7886,0.3324,0.5915,0.0344,0.8256,0.0886,0.1648,0.0579,1
0.16,-0.3781,-0.2777,0.2294,0.5891,0.0331,0.8197,0.0869,0.1658,0.0628,1
0.18,-0.1171,-0.4893,0.1472,0.5957,0.0348,0.8232,0.0864,0.1644,0.0658,1
0.2,0.3571,-1.3891,0.902,0.5959,0.0337,0.8323,0.0898,0.1658,0.0725,1
0.22,0.2941,-0.8324,1.1107,0.6001,0.0374,0.8339,0.0857,0.1666,0.0836,1
0.24,-0.1581,0.1678,1.1466,0.599,0.0424,0.8295,0.0862,0.1662,0.0877,1
0.26,-0.2043,0.6504,1.1911,0.5955,0.0401,0.8291,0.0873,0.1649,0.0678,1
0.28,-0.2707,0.3082,0.9664,0.5929,0.0349,0.8284,0.0868,0.1668,0.0668,1
0.3,-0.3963,-0.231,0.569,0.5924,0.0325,0.8277,0.0846,0.1685,0.0668,1
0.32,-0.3058,-0.2257,0.4572,0.5923,0.0342,0.8296,0.0833,0.1669,0.0439,1
0.34,-0.2401,0.1364,0.7602,0.5909,0.037,0.8305,0.0858,0.1669,0.0495,1
0.36,-0.2922,-0.1606,0.6748,0.5936,0.0359,0.832,0.0869,0.1664,0.0571,1
0.38,-0.5107,0.2587,0.6049,0.5958,0.0333,0.8287,0.0854,0.1654,0.0767,1
0.4,-0.5696,0.0415,0.9167,0.5935,0.0287,0.8287,0.085,0.1675,0.0583,1
0.42,-0.216,0.0322,1.0705,0.5924,0.0306,0.8299,0.0845,0.167,0.0534,1
0.44,-0.2273,-0.027,1.0597,0.594,0.0322,0.8291,0.0854,0.1665,0.0576,1
0.46,-0.4008,-0.1057,0.8855,0.5959,0.0289,0.8275,0.0865,0.1664,0.0554,1
0.48,-0.4668,-0.0836,0.6468,0.5966,0.0273,0.8276,0.0864,0.1657,0.0536,1
0.5,-0.4923,0.0499,0.5135,0.5962,0.0323,0.8283,0.0854,0.1653,0.0621,1
0.52,-0.1412,0.261,0.4795,0.5926,0.0274,0.8247,0.0835,0.1676,0.0503,1
